,City Name,Country Code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,de-kastri,RU,51.48,140.77,55.31,98,100,5.17
1,cape town,ZA,-33.93,18.42,54.88,93,0,9.17
2,cabo san lucas,MX,22.89,-109.91,87.6,46,5,9.17
3,nikolskoye,RU,59.7,30.79,49.17,81,0,4.47
4,roma,IT,41.89,12.48,70.63,56,40,8.05
5,longyearbyen,NO,78.22,15.63,44.6,81,75,5.82
6,hobart,AU,-42.88,147.33,52.5,62,20,13.87
7,mar del plata,AR,-46.43,-67.52,46.85,64,100,19.73
8,karasjok,NO,69.47,25.52,48.2,87,100,10.29
9,albany,US,42.65,-73.75,77.38,39,75,10.29
10,alofi,NU,-19.06,-169.92,78.8,74,75,11.41
11,castro,CL,-42.48,-73.76,46.4,100,90,20.8
12,nam dinh,VN,20.42,106.17,83.75,84,100,2.75
13,port alfred,ZA,-33.59,26.89,55.0,88,0,1.99
14,kapaa,US,22.08,-159.32,82.72,70,20,12.75
15,nishihara,JP,35.74,139.53,67.6,93,75,3.36
16,east london,ZA,-33.02,27.91,52.79,93,20,4.65
17,cidreira,BR,-30.17,-50.22,46.67,89,33,6.04
18,ushuaia,AR,-54.81,-68.31,37.4,93,40,5.82
19,yellowknife,CA,62.45,-114.38,75.09,44,75,12.75
20,rikitea,PF,-23.12,-134.97,73.49,78,54,11.68
21,klaksvik,FO,62.23,-6.59,53.6,100,98,5.82
22,lagoa,PT,37.14,-8.45,70.74,64,0,11.41
23,salalah,OM,17.01,54.1,78.8,100,90,5.82
24,hilo,US,19.71,-155.08,79.99,58,1,13.87
25,aykhal,RU,65.95,111.51,64.4,55,0,2.24
26,wellington,NZ,-41.29,174.78,52.45,76,83,18.34
27,nome,US,30.04,-94.42,83.1,84,1,8.05
28,aloleng,PH,16.13,119.78,82.06,73,87,1.34
29,la rioja,AR,-29.41,-66.86,47.14,79,56,3.0
30,ibra,OM,22.69,58.55,77.2,63,0,4.56
31,darnah,LY,32.77,22.64,80.98,65,3,17.36
32,le port,FR,42.87,1.37,63.36,37,0,1.01
33,bluff,AU,-23.58,149.07,55.78,50,93,6.8
34,khatanga,RU,71.98,102.47,61.72,56,94,5.99
35,jamestown,AU,-33.21,138.6,51.46,87,85,2.68
36,itoman,JP,26.12,127.67,82.72,79,75,5.82
37,tongliao,CN,43.61,122.27,83.68,45,35,11.18
38,ribeira grande,PT,38.52,-28.7,69.8,73,20,6.93
39,capim grosso,BR,-11.38,-40.01,63.88,85,31,3.02
40,mataura,NZ,-46.19,168.86,41.0,96,100,1.01
41,tuatapere,NZ,-46.13,167.69,41.0,96,100,1.01
42,kaitangata,NZ,-46.28,169.85,41.02,93,78,2.33
43,rodrigues alves,BR,-7.74,-72.65,73.6,87,2,1.83
44,pangody,RU,65.85,74.49,67.48,78,81,8.77
45,burns lake,CA,54.23,-125.76,68.45,36,1,7.83
46,caravelas,BR,-17.73,-39.27,69.82,88,0,7.34
47,arraial do cabo,BR,-22.97,-42.02,70.93,88,20,6.93
48,fairbanks,US,64.84,-147.72,75.49,38,1,4.7
49,mehamn,NO,71.03,27.85,46.4,75,20,2.24
50,havre-saint-pierre,CA,50.23,-63.6,62.6,93,90,6.93
51,faanui,PF,-16.48,-151.75,77.38,78,0,15.99
52,la palma,CO,5.36,-74.39,69.64,95,49,2.57
53,kenai,US,60.55,-151.26,64.08,59,75,6.93
54,ilulissat,GL,69.22,-51.1,53.6,46,20,8.05
55,ahipara,NZ,-35.17,173.16,55.99,100,78,25.93
56,chuy,UY,-33.69,-53.46,47.93,86,42,6.53
57,ancud,CL,-41.87,-73.83,46.4,100,90,20.8
58,nhulunbuy,AU,-12.18,136.78,71.6,64,37,10.29
59,san cristobal,HN,14.68,-86.92,71.62,76,53,7.85
60,kahului,US,20.89,-156.47,83.46,49,20,27.51
61,butaritari,KI,3.07,172.79,83.14,76,34,15.37
62,tasiilaq,GL,65.61,-37.64,48.2,76,75,3.36
63,sao miguel do araguaia,BR,-13.28,-50.16,71.08,36,0,1.1
64,sao filipe,CV,14.9,-24.5,73.42,88,7,18.66
65,bredasdorp,ZA,-34.53,20.04,50.74,93,18,5.82
66,hambantota,LK,6.12,81.12,82.42,78,100,18.72
67,bowen,AU,-20.01,148.25,54.48,87,89,5.82
68,rujiena,LV,57.9,25.33,51.28,93,46,4.81
69,georgetown,GY,6.8,-58.16,82.27,74,40,9.17
70,new norfolk,AU,-42.78,147.06,52.5,62,20,13.87
71,lebu,ET,8.96,38.73,55.4,87,75,6.93
72,port elizabeth,US,39.31,-74.98,84.29,48,1,8.05
73,keffi,NG,8.85,7.88,72.7,90,100,2.66
74,darhan,MN,49.49,105.92,62.8,89,44,4.92
75,avera,US,33.19,-82.53,94.73,38,1,6.93
76,bahir dar,ET,11.59,37.39,57.58,93,81,5.84
77,mahebourg,MU,-20.41,57.7,68.76,64,40,17.22
78,sao joao da barra,BR,-21.64,-41.05,71.6,83,0,4.7
